[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
26,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,145,0.121212121,246.2068966,229,1,23.37780307,0.75,275827
27,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,193,0.08974359,213.5751295,183,1,36.72480996,0.75,277368
28,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,269,0.010582011,100.33829,76,1,64.50567243,0.75,166520
29,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,293,0.030172414,123.4709898,85,1,73.92133521,0.75,205654
30,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,174,0.293478261,275.9022989,261,1,25.3870411,0.75,441759
31,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,221,0.109170306,211.321267,188,1,39.35438759,0.75,317424
32,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,101,0.471186441,343.3960396,348,1,10.65190381,0.75,506972
33,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,94,0.492836676,354.4574468,349.5,1,12.64380748,0.75,552539
34,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,231,0.005988024,10.57627119,3,0.372294372,52.1114611,0.75,21566
35,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,104,0.391472868,336.75,346,1,13.62185655,0.75,470029
36,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,133,0.414383562,322.3834586,320,1,14.88697338,0.75,515911
37,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,250,0.081081081,128.824,106,1,43.84894281,0.75,226015
38,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,162,0.314285714,283.3333333,268.5,1,23.45699671,0.75,423771
39,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,71,0.470355731,363.084507,364,1,11.22412817,0.75,466471
40,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,4,0.632596685,405.25,406,1,4.453835081,0.75,588737
41,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,101,0.399317406,330.7524752,325,1,13.69921152,0.75,471120
42,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,109,0.425170068,331.8623853,321,1,11.67393012,0.75,490201
43,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,152,0.160621762,266.0526316,249.5,1,23.896073,0.75,326250
44,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,109,0.370517928,314.8623853,314,1,15.94414767,0.75,423881
45,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,137,0.356164384,331.5547445,330,1,18.01259274,0.75,485787
46,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,57,0.534883721,378.754386,384,1,6.296606076,0.75,562890
47,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,181,0.269076305,292.1712707,292,1,20.85446678,0.75,431466
48,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,261,0.030701754,125.8390805,90,1,66.29740732,0.75,209875
49,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,266,0.015957447,77.57894737,52,1,67.7053378,0.75,135887
50,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.095,0,0,90,74,0.467948718,365.8648649,365.5,1,9.580476037,0.75,531814
51,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0.182,0,0,90,209,0.032608696,85.99521531,60,1,53.97197613,0.75,135046
