[run number],SimplePond,last-day,birth_pulses,ini-tadpoles-per-pondpatch,Bd-inf-tadpoles-per-infpondpatch,inf-ponds,tad-mort,meta-mort,t-movement,m-land,baseline_smax,baseline_spn_clearance,baseline_est,baseline_shedding,v-efficacy,v-coverage,vaccination-day,relative_variation,natural_imm_efficacy,c_smax,c_clear,c_est,c_shedding,[step],count metamorphs,prop_deaths_due_to_bd,avg_spn_inten_metas,median_spn_inten_metas,metas_prev,aggregation_inten_metas,realized-coverage,total-zsp-density
26,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,216,0.129353234,181.5555556,154,1,42.45351399,0.75,271558
27,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,233,0.011904762,19.62882096,10,1,67.98351189,0.75,58662
28,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,84,0.568690096,363.5238095,362.5,1,9.221349637,0.75,585390
29,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,186,0.00617284,29.65405405,16,0.994623656,70.23562348,0.75,65121
30,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,243,0.094594595,211.5761317,196,1,44.49210919,0.75,328602
31,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,241,0.027522936,72.89211618,48,1,73.78788353,0.75,139780
32,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,246,0.06504065,146.1585366,117,1,56.74098167,0.75,233547
33,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,5,0.637168142,410.4,384,1,4.14668616,0.75,594597
34,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,217,0,32.25,4,0.101382488,76.51605759,0.75,17195
35,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,158,0.281512605,286.221519,282,1,23.04716274,0.75,408314
36,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,226,0.072916667,151.699115,114.5,1,61.72503714,0.75,223398
37,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,185,0.057142857,125.0972973,87,1,66.35410134,0.75,173632
38,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,222,0.031578947,95.41891892,59,1,80.06855002,0.75,147561
39,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,169,0.021276596,42.6035503,31,1,47.62352348,0.75,78528
40,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,220,0.005649718,17.26190476,7,0.963636364,71.08514767,0.75,52282
41,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,276,0.060301508,129.1992754,99.5,1,48.29191284,0.75,221422
42,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,198,0.071038251,134.4141414,105.5,1,52.00738591,0.75,193282
43,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,192,0.158914729,223.3125,189,1,52.99153189,0.75,344336
44,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,212,0.121076233,183.2830189,149.5,1,44.64762638,0.75,275761
45,FALSE,90,1,500,1,1,0.06,0.02,0.25,0.1,562,0.2,0.25,17.8,1,0.75,0,0,0,0,0,0,-0.11,90,233,0.010869565,85.16738197,55,1,76.62337656,0.75,134616
